; -----------
; File select
; -----------

[$0C:$CEDF] $7E:F000[2] = $0000 | Room $0000
[$0C:$CEED] $7E:F2B2[2] = $0000 | Overworld $32
[$0C:$CEF4] $7E:F3B2[2] = $0000 | 
[$0C:$CEFB] $7E:F4B2[2] = $0000 | 
[$0C:$CEDF] $7E:F0B4[2] = $0000 | Room $005A
[$0C:$CEE6] $7E:F1B4[2] = $0000 | Room $00DA
[$0C:$CEED] $7E:F2B4[2] = $0000 | Overworld $34
[$0C:$CEF4] $7E:F3B4[2] = $0000 | 
[$0C:$CEFB] $7E:F4B4[2] = $0000 | 
[$0C:$CEDF] $7E:F0B6[2] = $0000 | Room $005B
[$0C:$CEE6] $7E:F1B6[2] = $0000 | Room $00DB
[$0C:$CEED] $7E:F2B6[2] = $0000 | Overworld $36
[$0C:$CEF4] $7E:F3B6[2] = $0000 | 
[$0C:$CEFB] $7E:F4B6[2] = $0000 | 
[$0C:$CEDF] $7E:F0B8[2] = $0000 | Room $005C
[$0C:$CEE6] $7E:F1B8[2] = $0000 | Room $00DC
[$0C:$CEED] $7E:F2B8[2] = $0000 | Overworld $38
[$0C:$CEF4] $7E:F3B8[2] = $0000 | 
[$0C:$CEFB] $7E:F4B8[2] = $0000 | 
[$0C:$CEDF] $7E:F0BA[2] = $0000 | Room $005D
[$0C:$CEE6] $7E:F1BA[2] = $0000 | Room $00DD
[$0C:$CEED] $7E:F2BA[2] = $0000 | Overworld $3A
[$0C:$CEF4] $7E:F3BA[2] = $0000 | 
[$0C:$CEFB] $7E:F4BA[2] = $0000 | 
[$0C:$CEDF] $7E:F0BC[2] = $0000 | Room $005E
[$0C:$CEE6] $7E:F1BC[2] = $0000 | Room $00DE
[$0C:$CEED] $7E:F2BC[2] = $0000 | Overworld $3C
[$0C:$CEF4] $7E:F3BC[2] = $0000 | 
[$0C:$CEFB] $7E:F4BC[2] = $0000 | 
[$0C:$CEDF] $7E:F0BE[2] = $0000 | Room $005F
[$0C:$CEE6] $7E:F1BE[2] = $0000 | Room $00DF
[$0C:$CEED] $7E:F2BE[2] = $0000 | Overworld $3E
[$0C:$CEF4] $7E:F3BE[2] = $0000 | 
[$0C:$CEFB] $7E:F4BE[2] = $0000 | 
[$0C:$CEDF] $7E:F0C0[2] = $0000 | Room $0060
[$0C:$CEE6] $7E:F1C0[2] = $0000 | Room $00E0
[$0C:$CEED] $7E:F2C0[2] = $0000 | Overworld $40
[$0C:$CEF4] $7E:F3C0[2] = $0000 | 
[$0C:$CEFB] $7E:F4C0[2] = $0000 | 
[$0C:$CEDF] $7E:F0C2[2] = $0000 | Room $0061
[$0C:$CEE6] $7E:F1C2[2] = $0000 | Room $00E1
[$0C:$CEED] $7E:F2C2[2] = $0000 | Overworld $42
[$0C:$CEF4] $7E:F3C2[2] = $0000 | 
[$0C:$CEFB] $7E:F4C2[2] = $0000 | 
[$0C:$CEDF] $7E:F0C4[2] = $0000 | Room $0062
[$0C:$CEE6] $7E:F1C4[2] = $0000 | Room $00E2
[$0C:$CEED] $7E:F2C4[2] = $0000 | Overworld $44
[$0C:$CEF4] $7E:F3C4[2] = $0000 | 
[$0C:$CEFB] $7E:F4C4[2] = $0000 | 
[$0C:$CEDF] $7E:F0C6[2] = $0000 | Room $0063
[$0C:$CEE6] $7E:F1C6[2] = $0000 | Room $00E3
[$0C:$CEED] $7E:F2C6[2] = $0000 | Overworld $46
[$0C:$CEF4] $7E:F3C6[2] = $0000 | Game Phase 2
[$0C:$CEFB] $7E:F4C6[2] = $0000 | 
[$0C:$CEDF] $7E:F0C8[2] = $0000 | Room $0064
[$0C:$CEE6] $7E:F1C8[2] = $0000 | Room $00E4
[$0C:$CEED] $7E:F2C8[2] = $0000 | Overworld $48
[$0C:$CEF4] $7E:F3C8[2] = $0000 | Entrances Phase
[$0C:$CEFB] $7E:F4C8[2] = $0000 | 
[$0C:$CEDF] $7E:F0CA[2] = $0000 | Room $0065
[$0C:$CEE6] $7E:F1CA[2] = $0000 | Room $00E5
[$0C:$CEED] $7E:F2CA[2] = $0000 | Overworld $4A
[$0C:$CEF4] $7E:F3CA[2] = $0000 | LW/DW
[$0C:$CEFB] $7E:F4CA[2] = $0000 | 
[$0C:$CEDF] $7E:F0CC[2] = $0000 | Room $0066
[$0C:$CEE6] $7E:F1CC[2] = $0000 | Room $00E6
[$0C:$CEED] $7E:F2CC[2] = $0000 | Overworld $4C
[$0C:$CEF4] $7E:F3CC[2] = $0000 | Tagalong
[$0C:$CEFB] $7E:F4CC[2] = $0000 | 
[$0C:$CEDF] $7E:F0CE[2] = $0000 | Room $0067
[$0C:$CEE6] $7E:F1CE[2] = $0000 | Room $00E7
[$0C:$CEED] $7E:F2CE[2] = $0000 | Overworld $4E
[$0C:$CEF4] $7E:F3CE[2] = $0000 | 
[$0C:$CEFB] $7E:F4CE[2] = $0000 | 
[$0C:$CEDF] $7E:F0D0[2] = $0000 | Room $0068
[$0C:$CEE6] $7E:F1D0[2] = $0000 | Room $00E8
[$0C:$CEED] $7E:F2D0[2] = $0000 | Overworld $50
[$0C:$CEF4] $7E:F3D0[2] = $0000 | 
[$0C:$CEFB] $7E:F4D0[2] = $0000 | 
[$0C:$CEDF] $7E:F0D2[2] = $0000 | Room $0069
[$0C:$CEE6] $7E:F1D2[2] = $0000 | Room $00E9
[$0C:$CEED] $7E:F2D2[2] = $0000 | Overworld $52
[$0C:$CEF4] $7E:F3D2[2] = $0000 | 
[$0C:$CEFB] $7E:F4D2[2] = $0000 | 
[$0C:$CEDF] $7E:F0D4[2] = $0000 | Room $006A
[$0C:$CEE6] $7E:F1D4[2] = $0000 | Room $00EA
[$0C:$CEED] $7E:F2D4[2] = $0000 | Overworld $54
[$0C:$CEF4] $7E:F3D4[2] = $0000 | 
[$0C:$CEFB] $7E:F4D4[2] = $0000 | 
[$0C:$CEDF] $7E:F0D6[2] = $0000 | Room $006B
[$0C:$CEE6] $7E:F1D6[2] = $0000 | Room $00EB
[$0C:$CEED] $7E:F2D6[2] = $0000 | Overworld $56
[$0C:$CEF4] $7E:F3D6[2] = $0000 | 
[$0C:$CEFB] $7E:F4D6[2] = $0000 | 
[$0C:$CEDF] $7E:F0D8[2] = $0000 | Room $006C
[$0C:$CEE6] $7E:F1D8[2] = $0000 | Room $00EC
[$0C:$CEED] $7E:F2D8[2] = $0000 | Overworld $58
[$0C:$CEF4] $7E:F3D8[2] = $4B00 | 
[$0C:$CEFB] $7E:F4D8[2] = $0000 | 
[$0C:$CEDF] $7E:F0DA[2] = $0000 | Room $006D
[$0C:$CEE6] $7E:F1DA[2] = $0000 | Room $00ED
[$0C:$CEED] $7E:F2DA[2] = $0000 | Overworld $5A
[$0C:$CEF4] $7E:F3DA[2] = $8C01 | Player Name
[$0C:$CEFB] $7E:F4DA[2] = $0000 | 
[$0C:$CEDF] $7E:F0DC[2] = $0000 | Room $006E
[$0C:$CEE6] $7E:F1DC[2] = $0000 | Room $00EE
[$0C:$CEED] $7E:F2DC[2] = $0000 | Overworld $5C
[$0C:$CEF4] $7E:F3DC[2] = $8C01 | Player Name
[$0C:$CEFB] $7E:F4DC[2] = $0000 | 
[$0C:$CEDF] $7E:F0DE[2] = $0000 | Room $006F
[$0C:$CEE6] $7E:F1DE[2] = $0000 | Room $00EF
[$0C:$CEED] $7E:F2DE[2] = $0000 | Overworld $5E
[$0C:$CEF4] $7E:F3DE[2] = $8C01 | Player Name
[$0C:$CEFB] $7E:F4DE[2] = $0000 | 
[$0C:$CEDF] $7E:F0E0[2] = $0000 | Room $0070
[$0C:$CEE6] $7E:F1E0[2] = $0000 | Room $00F0
[$0C:$CEED] $7E:F2E0[2] = $0000 | Overworld $60
[$0C:$CEF4] $7E:F3E0[2] = $AA01 | Player Name
[$0C:$CEFB] $7E:F4E0[2] = $0000 | 
[$0C:$CEDF] $7E:F0E2[2] = $0000 | Room $0071
[$0C:$CEE6] $7E:F1E2[2] = $0000 | Room $00F1
[$0C:$CEED] $7E:F2E2[2] = $0000 | Overworld $62
[$0C:$CEF4] $7E:F3E2[2] = $0055 | Player Name
[$0C:$CEFB] $7E:F4E2[2] = $0000 | 
[$0C:$CEDF] $7E:F0E4[2] = $0000 | Room $0072
[$0C:$CEE6] $7E:F1E4[2] = $0000 | Room $00F2
[$0C:$CEED] $7E:F2E4[2] = $0000 | Overworld $64
[$0C:$CEF4] $7E:F3E4[2] = $0000 | Player Name
[$0C:$CEFB] $7E:F4E4[2] = $0000 | 
[$0C:$CEDF] $7E:F0E6[2] = $0000 | Room $0073
[$0C:$CEE6] $7E:F1E6[2] = $0000 | Room $00F3
[$0C:$CEED] $7E:F2E6[2] = $0000 | Overworld $66
[$0C:$CEF4] $7E:F3E6[2] = $0000 | 
[$0C:$CEFB] $7E:F4E6[2] = $0000 | 
[$0C:$CEDF] $7E:F0E8[2] = $0000 | Room $0074
[$0C:$CEE6] $7E:F1E8[2] = $0000 | Room $00F4
[$0C:$CEED] $7E:F2E8[2] = $0000 | Overworld $68
[$0C:$CEF4] $7E:F3E8[2] = $0000 | Deaths Total
[$0C:$CEFB] $7E:F4E8[2] = $0000 | 
[$0C:$CEDF] $7E:F0EA[2] = $0000 | Room $0075
[$0C:$CEE6] $7E:F1EA[2] = $0000 | Room $00F5
[$0C:$CEED] $7E:F2EA[2] = $0000 | Overworld $6A
[$0C:$CEF4] $7E:F3EA[2] = $0000 | Deaths Total
[$0C:$CEFB] $7E:F4EA[2] = $0000 | 
[$0C:$CEDF] $7E:F0EC[2] = $0000 | Room $0076
[$0C:$CEE6] $7E:F1EC[2] = $0000 | Room $00F6
[$0C:$CEED] $7E:F2EC[2] = $0000 | Overworld $6C
[$0C:$CEF4] $7E:F3EC[2] = $0000 | Deaths Total
[$0C:$CEFB] $7E:F4EC[2] = $0000 | 
[$0C:$CEDF] $7E:F0EE[2] = $0000 | Room $0077
[$0C:$CEE6] $7E:F1EE[2] = $0000 | Room $00F7
[$0C:$CEED] $7E:F2EE[2] = $0000 | Overworld $6E
[$0C:$CEF4] $7E:F3EE[2] = $0000 | Deaths Total
[$0C:$CEFB] $7E:F4EE[2] = $0000 | 
[$0C:$CEDF] $7E:F0F0[2] = $0000 | Room $0078
[$0C:$CEE6] $7E:F1F0[2] = $0000 | Room $00F8
[$0C:$CEED] $7E:F2F0[2] = $0000 | Overworld $70
[$0C:$CEF4] $7E:F3F0[2] = $0000 | Deaths Total
[$0C:$CEFB] $7E:F4F0[2] = $0000 | 
[$0C:$CEDF] $7E:F0F2[2] = $0000 | Room $0079
[$0C:$CEE6] $7E:F1F2[2] = $0000 | Room $00F9
[$0C:$CEED] $7E:F2F2[2] = $0000 | Overworld $72
[$0C:$CEF4] $7E:F3F2[2] = $0000 | Deaths Total
[$0C:$CEFB] $7E:F4F2[2] = $0000 | 
[$0C:$CEDF] $7E:F0F4[2] = $0000 | Room $007A
[$0C:$CEE6] $7E:F1F4[2] = $0000 | Room $00FA
[$0C:$CEED] $7E:F2F4[2] = $0000 | Overworld $74
[$0C:$CEF4] $7E:F3F4[2] = $0000 | Deaths Total
[$0C:$CEFB] $7E:F4F4[2] = $0000 | 
[$0C:$CEDF] $7E:F0F6[2] = $0000 | Room $007B
[$0C:$CEE6] $7E:F1F6[2] = $0000 | Room $00FB
[$0C:$CEED] $7E:F2F6[2] = $0000 | Overworld $76
[$0C:$CEF4] $7E:F3F6[2] = $0000 | Deaths Total
[$0C:$CEFB] $7E:F4F6[2] = $0000 | 
[$0C:$CEDF] $7E:F0F8[2] = $0000 | Room $007C
[$0C:$CEE6] $7E:F1F8[2] = $0000 | Room $00FC
[$0C:$CEED] $7E:F2F8[2] = $0000 | Overworld $78
[$0C:$CEF4] $7E:F3F8[2] = $0000 | Deaths Total
[$0C:$CEFB] $7E:F4F8[2] = $0000 | 
[$0C:$CEDF] $7E:F0FA[2] = $0000 | Room $007D
[$0C:$CEE6] $7E:F1FA[2] = $0000 | Room $00FD
[$0C:$CEED] $7E:F2FA[2] = $0000 | Overworld $7A
[$0C:$CEF4] $7E:F3FA[2] = $0000 | Deaths Total
[$0C:$CEFB] $7E:F4FA[2] = $0000 | 
[$0C:$CEDF] $7E:F0FC[2] = $0000 | Room $007E
[$0C:$CEE6] $7E:F1FC[2] = $0000 | Room $00FE
[$0C:$CEED] $7E:F2FC[2] = $0000 | Overworld $7C
[$0C:$CEF4] $7E:F3FC[2] = $0000 | Deaths Total
[$0C:$CEFB] $7E:F4FC[2] = $0000 | 
[$0C:$CEDF] $7E:F0FE[2] = $0000 | Room $007F
[$0C:$CEE6] $7E:F1FE[2] = $0000 | Room $00FF
[$0C:$CEED] $7E:F2FE[2] = $0000 | Overworld $7E
[$0C:$CEF4] $7E:F3FE[2] = $0000 | Deaths Total
[$0C:$CEFB] $7E:F4FE[2] = $D0EA | Inverse checksum
[$0D:$FA8C] $7E:F36F[1] = $FF   | Keys
[$02:$B82E] $7E:F208[2] = $0002 | Room $0104
[$05:$DEFE] $7E:F3CC[1] = $05   | Tagalong
[$05:$DF12] $7E:F3C6[1] = $10   | Game Phase 2
[$06:$D1DA] $7E:F360[2] = $0001 | Rupees (goal)
[$0D:$DBFB] $7E:F362[2] = $0001 | Rupees (actual)
[$02:$AA91] $7E:F2BB[1] = $00   | Overworld $3B
[$02:$AA9B] $7E:F2FB[1] = $00   | Overworld $7B
[$02:$AAAF] $7E:F051[1] = $00   | Room $0028
[$02:$B82E] $7E:F0AA[2] = $000C | Room $0055
[$05:$DF40] $7E:F3CC[1] = $00   | Tagalong
[$09:$8624] $7E:F35A[1] = $01   | Shield
[$09:$863C] $7E:F359[1] = $01   | Sword
[$05:$DF5B] $7E:F3C8[1] = $03   | Entrances Phase
[$05:$DF65] $7E:F3C6[1] = $11   | Game Phase 2
[$05:$DF6B] $7E:F3C5[1] = $01   | Game Phase 1
[$02:$B82E] $7E:F0AA[2] = $000F | Room $0055
[$0D:$FA8C] $7E:F36F[1] = $00   | Keys
[$02:$B82E] $7E:F0C2[2] = $000F | Room $0061
[$02:$B82E] $7E:F0C0[2] = $0005 | Room $0060
[$02:$B82E] $7E:F0A0[2] = $0005 | Room $0050
[$02:$B82E] $7E:F002[2] = $000C | Room $0001
[$02:$B82E] $7E:F0E4[2] = $000C | Room $0072
[$06:$D196] $7E:F36F[1] = $01   | Keys
[$01:$CF6B] $7E:F36F[2] = $0000 | Keys
[$02:$B89D] $7E:F0E4[2] = $840C | Room $0072
[$02:$B82E] $7E:F0E4[2] = $840F | Room $0072
[$02:$B82E] $7E:F104[2] = $000F | Room $0082
[$02:$B82E] $7E:F102[2] = $000F | Room $0081
[$02:$B82E] $7E:F0E2[2] = $0002 | Room $0071
[$02:$B82E] $7E:F0E2[2] = $0003 | Room $0071
[$02:$B89D] $7E:F0E2[2] = $0013 | Room $0071
[$09:$863C] $7E:F341[1] = $01   | Boomerang
[$06:$D196] $7E:F36F[1] = $01   | Keys
[$01:$CF6B] $7E:F36F[2] = $0000 | Keys
[$02:$B89D] $7E:F0E2[2] = $8413 | Room $0071
[$02:$B82E] $7E:F0E2[2] = $841B | Room $0071
[$02:$B82E] $7E:F0E0[2] = $0008 | Room $0070
[$05:$EBF1] $7E:F3CC[1] = $01   | Tagalong
[$05:$EBFC] $7E:F3CC[1] = $00   | Tagalong
[$02:$B82E] $7E:F100[2] = $000C | Room $0080
[$09:$86B1] $7E:F366[2] = $4000 | BigKey1
[$02:$B89D] $7E:F100[2] = $042C | Room $0080
[$02:$B89D] $7E:F100[2] = $043C | Room $0080
[$09:$863C] $7E:F34A[1] = $01   | Torch
[$05:$ED4C] $7E:F3C8[1] = $02   | Entrances Phase
[$00:$F9EB] $7E:F3E5[2] = $0000 | Validity (checksum)
[$00:$F9F6] $7E:F3FF[2] = $0000 | Deaths Total
[$05:$ED56] $7E:F3CC[1] = $01   | Tagalong
[$09:$9F76] $7E:F3D3[1] = $00   | Super Bomb Boom
[$02:$B82E] $7E:F0A2[2] = $000F | Room $0051
[$1A:$FC73] $7E:F3C8[1] = $04   | Entrances Phase
[$02:$B82E] $7E:F082[2] = $000F | Room $0041
[$02:$B82E] $7E:F084[2] = $000C | Room $0042
[$02:$B82E] $7E:F064[2] = $000F | Room $0032
[$02:$B89D] $7E:F064[2] = $001F | Room $0032
[$09:$8741] $7E:F36F[1] = $01   | Keys
[$01:$CF6B] $7E:F36F[2] = $0000 | Keys
[$02:$B89D] $7E:F064[2] = $801F | Room $0032
[$02:$B82E] $7E:F044[2] = $0003 | Room $0022
[$02:$B89D] $7E:F044[2] = $8003 | Room $0022
[$02:$B82E] $7E:F042[2] = $0003 | Room $0021
[$02:$B82E] $7E:F042[2] = $000F | Room $0021
[$06:$D196] $7E:F36F[1] = $01   | Keys
[$01:$CF6B] $7E:F36F[2] = $0000 | Keys
[$02:$B89D] $7E:F042[2] = $840F | Room $0021
[$02:$B82E] $7E:F022[2] = $0005 | Room $0011
[$02:$B89D] $7E:F022[2] = $2005 | Room $0011
[$02:$B82E] $7E:F004[2] = $000C | Room $0002
[$02:$B82E] $7E:F004[2] = $000F | Room $0002
[$05:$DAAD] $7E:F3C6[1] = $15   | Game Phase 2
[$05:$DAB7] $7E:F29B[1] = $20   | Overworld $1B
[$02:$B82E] $7E:F024[2] = $000F | Room $0012
[$05:$EC80] $7E:F3CC[1] = $00   | Tagalong
[$05:$DD9E] $7E:F3C7[1] = $01   | Map Phase
[$05:$EDDB] $7E:F3C8[1] = $01   | Entrances Phase
[$00:$F9EB] $7E:F3E3[2] = $0000 | Player Name
[$05:$EDE5] $7E:F3C5[1] = $02   | Game Phase 1
[$02:$82F0] $7E:F36F[1] = $FF   | Keys
[$0D:$FA8C] $7E:F36F[1] = $00   | Keys
[$02:$B82E] $7E:F192[2] = $0003 | Room $00C9
[$02:$B82E] $7E:F192[2] = $000F | Room $00C9
[$02:$B82E] $7E:F172[2] = $000F | Room $00B9
[$02:$B82E] $7E:F152[2] = $000F | Room $00A9
[$02:$B82E] $7E:F150[2] = $0005 | Room $00A8
[$02:$B82E] $7E:F150[2] = $0007 | Room $00A8
[$06:$D1FF] $7E:F373[1] = $10   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $0F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $01   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $0E   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $02   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $0D   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $03   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $0C   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $04   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $0B   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $05   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $0A   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $06   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $09   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $07   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $08   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $08   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $07   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $09   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $06   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $0A   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $05   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $0B   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $04   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $0C   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $03   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $0D   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $02   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $0E   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $01   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $0F   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $00   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $10   | Magic Power
[$02:$B82E] $7E:F150[2] = $000F | Room $00A8
[$02:$B82E] $7E:F154[2] = $000A | Room $00AA
[$02:$B82E] $7E:F174[2] = $0008 | Room $00BA
[$02:$B82E] $7E:F174[2] = $000C | Room $00BA
[$06:$D196] $7E:F36F[1] = $01   | Keys
[$02:$B89D] $7E:F174[2] = $040C | Room $00BA
[$06:$D1DA] $7E:F360[2] = $0015 | Rupees (goal)
[$0D:$DBFB] $7E:F362[2] = $0002 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0003 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0004 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0005 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0006 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0007 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0008 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0009 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $000A | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $000B | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $000C | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $000D | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $000E | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $000F | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0010 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0011 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0012 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0013 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0014 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0015 | Rupees (actual)
[$01:$CF6B] $7E:F36F[2] = $0000 | Keys
[$02:$B89D] $7E:F174[2] = $840C | Room $00BA
[$02:$B89D] $7E:F172[2] = $800F | Room $00B9
[$02:$B82E] $7E:F170[2] = $0005 | Room $00B8
[$07:$80FB] $7E:F36D[1] = $14   | Health (actual)
[$07:$80FB] $7E:F36D[1] = $0C   | Health (actual)
[$02:$B89D] $7E:F170[2] = $0015 | Room $00B8
[$09:$86B1] $7E:F366[2] = $6000 | BigKey1
[$02:$B89D] $7E:F170[2] = $8015 | Room $00B8
[$02:$B89D] $7E:F150[2] = $200F | Room $00A8
[$06:$D214] $7E:F376[1] = $05   | Arrow filler
[$0D:$DC49] $7E:F376[1] = $04   | Arrow filler
[$0D:$DC5C] $7E:F377[1] = $01   | Arrows
[$0D:$DC49] $7E:F376[1] = $03   | Arrow filler
[$0D:$DC5C] $7E:F377[1] = $02   | Arrows
[$0D:$DC49] $7E:F376[1] = $02   | Arrow filler
[$0D:$DC5C] $7E:F377[1] = $03   | Arrows
[$0D:$DC49] $7E:F376[1] = $01   | Arrow filler
[$0D:$DC5C] $7E:F377[1] = $04   | Arrows
[$0D:$DC49] $7E:F376[1] = $00   | Arrow filler
[$0D:$DC5C] $7E:F377[1] = $05   | Arrows
[$06:$D214] $7E:F376[1] = $05   | Arrow filler
[$0D:$DC49] $7E:F376[1] = $04   | Arrow filler
[$0D:$DC5C] $7E:F377[1] = $06   | Arrows
[$0D:$DC49] $7E:F376[1] = $03   | Arrow filler
[$0D:$DC5C] $7E:F377[1] = $07   | Arrows
[$0D:$DC49] $7E:F376[1] = $02   | Arrow filler
[$0D:$DC5C] $7E:F377[1] = $08   | Arrows
[$0D:$DC49] $7E:F376[1] = $01   | Arrow filler
[$0D:$DC5C] $7E:F377[1] = $09   | Arrows
[$0D:$DC49] $7E:F376[1] = $00   | Arrow filler
[$0D:$DC5C] $7E:F377[1] = $0A   | Arrows
[$02:$B89D] $7E:F152[2] = $001F | Room $00A9
[$09:$863C] $7E:F340[1] = $01   | Bow
[$0D:$FB5C] $7E:F340[1] = $02   | Bow
[$02:$B89D] $7E:F152[2] = $201F | Room $00A9
[$02:$B82E] $7E:F132[2] = $0003 | Room $0099
[$06:$D1DA] $7E:F360[2] = $0016 | Rupees (goal)
[$0D:$DBFB] $7E:F362[2] = $0016 | Rupees (actual)
[$06:$D1DA] $7E:F360[2] = $001B | Rupees (goal)
[$0D:$DBFB] $7E:F362[2] = $0017 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0018 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0019 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $001A | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $001B | Rupees (actual)
[$06:$D1FF] $7E:F373[1] = $10   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $0F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $11   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $0E   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $12   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $0D   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $13   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $0C   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $14   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $0B   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $15   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $0A   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $16   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $09   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $17   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $08   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $18   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $07   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $19   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $06   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $1A   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $05   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $1B   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $04   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $1C   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $03   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $1D   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $02   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $1E   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $01   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $1F   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $00   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $20   | Magic Power
[$06:$D196] $7E:F36F[1] = $01   | Keys
[$01:$CF6B] $7E:F36F[2] = $0000 | Keys
[$02:$B89D] $7E:F132[2] = $C403 | Room $0099
[$02:$B82E] $7E:F1B4[2] = $0002 | Room $00DA
[$06:$D214] $7E:F376[1] = $05   | Arrow filler
[$0D:$DC49] $7E:F376[1] = $04   | Arrow filler
[$0D:$DC5C] $7E:F377[1] = $0B   | Arrows
[$0D:$DC49] $7E:F376[1] = $03   | Arrow filler
[$0D:$DC5C] $7E:F377[1] = $0C   | Arrows
[$0D:$DC49] $7E:F376[1] = $02   | Arrow filler
[$0D:$DC5C] $7E:F377[1] = $0D   | Arrows
[$0D:$DC49] $7E:F376[1] = $01   | Arrow filler
[$0D:$DC5C] $7E:F377[1] = $0E   | Arrows
[$0D:$DC49] $7E:F376[1] = $00   | Arrow filler
[$0D:$DC5C] $7E:F377[1] = $0F   | Arrows
[$06:$D214] $7E:F376[1] = $05   | Arrow filler
